Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
207600003;207600003;DISPLAY DE BALCAO PARA PILHAS     ;1;PC;PILHA;0,001;0,001;0,001;0,001;0,001;0;2;8;;;UNIDADE
41BL12000EU0;41BL12000EU0;MAQ.COST.ELGIN BELA 127-220V PORTATIL ;1;PC;COSTURA;32;2,6;0,315;0,15;0,335;0,015829;10;24;;;UNIDADE
41BL12000EU0;41BL12000EU0CX ;MAQ.COST.ELGIN BELA 127-220V PORTATIL ;4;PC;COSTURA;32;11;0,335;0,355;0,62;0,073734;2;8;;;MASTER
42A0100SQRJ0;42A0100SQRJ0-UN;CABO QD P/ RJ,COMUM E SEM VOLUME  ;1;PC;TELEFONIA;0,001;0,001;0,001;0,001;0,001;0;10;10;;;UNIDADE
42A0100SQRJ0;42A0100SQRJ0;CABO QD P/ RJ,COMUM E SEM VOLUME  ;1;PC;TELEFONIA;0,001;0,0275;0,003;0,021;0,438;0,000028;2;8;;;UNIDADE
42A0700SCQD0;42A0700SCQD0;CABO Y,CONECTOR QD,COMUM E SEM VOLUME ;1;PC;TELEFONIA;0,001;0,275;0,17;0,19;0,22;0,007106;2;8;;;UNIDADE
42C41IM22B00;42C41IM22B00-UN;CAMERA 4 EM 1,DOME,RESOLUCAO 720P,25 METROS,LENTE 2.8MM E COR BRANCA        ;1;PC;SEGURANCA;0,001;0,001;0,001;0,001;0,001;0;10;10;;;UNIDADE
42C41IM22B00;42C41IM22B00;CAMERA 4 EM 1,DOME,RESOLUCAO 720P,25 METROS,LENTE 2.8MM E COR BRANCA        ;1;PC;SEGURANCA;0,001;0,275;0,09;0,11;0,11;0,001089;2;8;;;UNIDADE
42CALESTO000;42CALESTO000;CALCULADORA CIENTIFICA C/ KIT CALCULOS;1;PC;OFFICE;0,001;0,286;0,01;0,095;0,04;0,00076;10;80;;;UNIDADE
42CALESTO000;42CALESTO000INNER        ;CALCULADORA CIENTIFICA C/ KIT CALCULOS;10;PC;OFFICE;0,001;2,86;0,11;0,24;0,42;0,011088;10;8;;;INNER
42CALESTO000;42CALESTO000CX ;CALCULADORA CIENTIFICA C/ KIT CALCULOS;50;PC;OFFICE;0,001;15,8;0,52;0,26;0,43;0,058136;2;8;;;MASTER
42CB14830000;42CB14830000;CB1483-CALC.BOLSO/4 OP./S.P.      ;1;PC;OFFICE;0,001;0,039;0,115;0,065;0,02;0,00015;10;700;7,89701E+12;;UNIDADE
42CB14830000;42CB14830000CX ;CB1483-CALC.BOLSO/4 OP./S.P.      ;100;PC;OFFICE;0,001;4,85;0;0,21;0,345;0;9;14;7,89701E+12;;MASTER
42CB14850000;42CB14850000;CB1485 CALC.BOLSO PRETA 8 DIGITOS SOLAR ;1;PC;OFFICE;0,001;0,051;0,16;0,11;0,03;0,000528;10;400;7,89701E+12;;UNIDADE
42CB14850000;42CB14850000CX ;CB1485 CALC.BOLSO PRETA 8 DIGITOS SOLAR ;200;PC;OFFICE;0,001;10,8;0,26;0,46;0,56;0,066976;5;4;7,89701E+12;;MASTER
42CB1485A000;42CB1485A000;CB1485A CALC. BOLSO AZUL 8 DIG SOLAR  ;1;PC;OFFICE;0,001;0,045;0,16;0,11;0,025;0,00044;8;400;7,90841E+12;;UNIDADE
42CB1485A000;42CB1485A000CX ;CB1485A CALC. BOLSO AZUL 8 DIG SOLAR  ;200;PC;OFFICE;0,001;10,8;0,25;0,47;0,56;0,0658;5;4;7,90841E+12;;MASTER
42CB1485R000;42CB1485R000;CB1485R CALC. BOLSO ROSA 8 DIG SOLAR  ;1;PC;OFFICE;0,001;0,45;0,016;0,011;0,011;0,000002;8;200;;;UNIDADE
42CB1485R000;42CB1485R000CX ;CB1485R CALC. BOLSO ROSA 8 DIG SOLAR  ;200;PC;OFFICE;0,001;10,8;0,248;0,465;0,56;0,064579;5;4;;;MASTER
42CB1485V000;42CB1485V000;CB1485V CALC.BOLSO VERDE8 DIG SOL ;1;PC;OFFICE;0,001;0,091;0,16;0,11;0,025;0,00044;8;200;1,79084E+13;;UNIDADE
42CB1485V000;42CB1485V000CX ;CB1485V CALC.BOLSO VERDE8 DIG SOL ;200;PC;OFFICE;0,001;10,8;0,25;0,47;0,56;0,0658;5;4;1,79084E+13;;MASTER
42CC24000000;42CC24000000;CALCULADORA CIENTIFICA COM 240 FUNCOES;1;PC;OFFICE;0,001;0,141;0,1;0,13;0,002;0,000052;10;240;;;UNIDADE
42CC24000000;42CC24000000CX80;CALCULADORA CIENTIFICA COM 240 FUNCOES;80;PC;OFFICE;0,001;0,12;0,24;0,39;0,49;0,045864;5;6;;;INNER
42CC24000000;42CC24000000CX ;CALCULADORA CIENTIFICA COM 240 FUNCOES;100;PC;OFFICE;0,001;0,001;0,274;0,41;0,634;0,071224;2;8;;;MASTER
42CC56000000;42CC56000000;CALCULADORA CIENTIFICA COM 56 FUNCOES ;1;PC;OFFICE;0,001;0,11;0,2;0,12;0,02;0,00048;8;250;7,89701E+12;;UNIDADE
42CC56000000;42CC56000000CX ;CALCULADORA CIENTIFICA COM 56 FUNCOES ;100;PC;OFFICE;0,001;12,5;0,28;0,32;0,57;0,051072;4;5;7,89701E+12;;MASTER
