Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
42CAF1002000;42CAF1002000;CAFETEIRA ELETR. 15 XICARAS 220V;1;PC;ELET - COZINHA;1;0,805;0,254;0,153;0,188;0,007306;5;40;7897013587870;B;UNIDADE
42CAF1002000;42CAF1002000;CAFETEIRA ELETR. 15 XICARAS 220V;1;PC;ELET - COZINHA;1;0,805;0,254;0,153;0,188;0,007306;5;40;42CAF1002000;B;UNIDADE
42CAF1002000;42CAF1002000CX;CAFETEIRA ELETR. 15 XICARAS 220V;8;PC;ELET - COZINHA;1;7,6;0,63;0,382;0,267;0,064256;5;5;17897013587877;B;MASTER
42CAF1001000;42CAF1001000;CAFETEIRA ELETR. 15 XICARAS 127V;1;PC;ELET - COZINHA;1;0,805;0,254;0,153;0,188;0,007306;5;40;7897013587863;B;UNIDADE
42CAF1001000;42CAF1001000;CAFETEIRA ELETR. 15 XICARAS 127V;1;PC;ELET - COZINHA;1;0,805;0,254;0,153;0,188;0,007306;5;40;42CAF1001000;B;UNIDADE
42CAF1001000;42CAF1001000CX;CAFETEIRA ELETR. 15 XICARAS 127V;8;PC;ELET - COZINHA;1;7,6;0,63;0,382;0,267;0,064256;5;5;17897013587860;B;MASTER
42ASP1002000;42ASP1002000;ASPIRADORDEPO2EM11200W220V;1;PC;ELET - CASA;0,1;1,8;0,41;0,16;0,16;0,010496;8;12;7897013589690;B;UNIDADE
42ASP1002000;42ASP1002000;ASPIRADORDEPO2EM11200W220V;1;PC;ELET - CASA;0,1;1,8;0,41;0,16;0,16;0,010496;8;12;42ASP1002000;B;UNIDADE
42ASP1002000;42ASP1002000CX;ASPIRADORDEPO2EM11200W220V;4;PC;ELET - CASA;0,1;8;0,34;0,33;0,42;0,047124;4;6;17897013589697;B;MASTER
42AFR1001000;42AFR1001000;FRITADEIRAELETR.SEMOLEO127V;1;PC;AIR FRYER;0,1;4,1;0,355;0,317;0,317;0,035674;4;8;7897013584725;A;UNIDADE
